estacao;codigo;data_hora;nivel_m;vazao;chuva
Linha Jose Julio;86472000;2026-09-20 00:00:00;5,11;409,63;1,20
Linha Jose Julio;86472000;2026-09-20 00:15:00;5,10;407,36;0,80
Linha Jose Julio;86472000;2026-09-20 00:30:00;5,09;405,10;0,60
Linha Jose Julio;86472000;2026-09-20 00:45:00;5,08;402,84;0,20
Linha Jose Julio;86472000;2026-09-20 01:00:00;5,06;398,34;0,20
Linha Jose Julio;86472000;2026-09-20 01:15:00;5,05;396,10;0,00
Linha Jose Julio;86472000;2026-09-20 01:30:00;5,04;393,86;0,00
Linha Jose Julio;86472000;2026-09-20 01:45:00;5,02;389,41;0,00
Linha Jose Julio;86472000;2026-09-20 02:00:00;5,00;384,98;0,00
Linha Jose Julio;86472000;2026-09-20 02:15:00;4,99;382,77;0,00
Linha Jose Julio;86472000;2026-09-20 02:30:00;4,98;380,57;0,20
Linha Jose Julio;86472000;2026-09-20 02:45:00;4,96;376,18;0,00
Linha Jose Julio;86472000;2026-09-20 03:00:00;4,95;373,99;0,00
Linha Jose Julio;86472000;2026-09-20 03:15:00;4,95;373,99;0,00
Linha Jose Julio;86472000;2026-09-20 03:30:00;4,94;371,81;0,00
Linha Jose Julio;86472000;2026-09-20 03:45:00;4,94;371,81;0,00
Linha Jose Julio;86472000;2026-09-20 04:00:00;4,93;369,64;0,00
Linha Jose Julio;86472000;2026-09-20 04:15:00;4,93;369,64;0,00
Linha Jose Julio;86472000;2026-09-20 04:30:00;4,93;369,64;0,00
Linha Jose Julio;86472000;2026-09-20 04:45:00;4,92;367,47;0,00
Linha Jose Julio;86472000;2026-09-20 05:00:00;4,92;367,47;0,00
Linha Jose Julio;86472000;2026-09-20 05:15:00;4,92;367,47;0,00
Linha Jose Julio;86472000;2026-09-20 05:30:00;4,91;365,31;0,00
Linha Jose Julio;86472000;2026-09-20 05:45:00;4,91;365,31;0,00
Linha Jose Julio;86472000;2026-09-20 06:00:00;4,90;363,15;0,00
Linha Jose Julio;86472000;2026-09-20 06:15:00;4,89;361,00;0,00
Linha Jose Julio;86472000;2026-09-20 06:30:00;4,88;358,86;0,00
Linha Jose Julio;86472000;2026-09-20 06:45:00;4,86;354,58;0,00
Linha Jose Julio;86472000;2026-09-20 07:00:00;4,86;354,58;0,00
Linha Jose Julio;86472000;2026-09-20 07:15:00;4,84;350,33;0,00
Linha Jose Julio;86472000;2026-09-20 07:30:00;4,83;348,22;0,00
Linha Jose Julio;86472000;2026-09-20 07:45:00;4,83;348,22;0,00
Linha Jose Julio;86472000;2026-09-20 08:00:00;4,82;346,10;0,00
Linha Jose Julio;86472000;2026-09-20 08:15:00;4,81;344,00;0,00
Linha Jose Julio;86472000;2026-09-20 08:30:00;4,81;344,00;0,00
Linha Jose Julio;86472000;2026-09-20 08:45:00;4,80;341,90;0,00
Linha Jose Julio;86472000;2026-09-20 09:00:00;4,80;341,90;0,00
Linha Jose Julio;86472000;2026-09-20 09:15:00;4,76;333,56;0,00
Linha Jose Julio;86472000;2026-09-20 09:30:00;4,66;313,11;0,00
Linha Jose Julio;86472000;2026-09-20 09:45:00;4,52;285,45;0,00
Linha Jose Julio;86472000;2026-09-20 10:00:00;4,37;257,09;0,00
Linha Jose Julio;86472000;2026-09-20 10:15:00;4,23;231,81;0,00
Linha Jose Julio;86472000;2026-09-20 10:30:00;4,09;207,71;0,00
Linha Jose Julio;86472000;2026-09-20 10:45:00;3,98;189,61;0,00
Linha Jose Julio;86472000;2026-09-20 11:00:00;3,87;172,24;0,00
Linha Jose Julio;86472000;2026-09-20 11:15:00;3,79;160,08;0,20
Linha Jose Julio;86472000;2026-09-20 11:30:00;3,72;149,76;0,00
Linha Jose Julio;86472000;2026-09-20 11:45:00;3,66;141,16;0,00
Linha Jose Julio;86472000;2026-09-20 12:00:00;3,62;135,56;0,00
Linha Jose Julio;86472000;2026-09-20 12:15:00;3,58;130,05;0,00
Linha Jose Julio;86472000;2026-09-20 12:30:00;3,56;127,34;0,00
Linha Jose Julio;86472000;2026-09-20 12:45:00;3,55;125,99;0,00
Linha Jose Julio;86472000;2026-09-20 13:00:00;3,56;127,34;0,00
Linha Jose Julio;86472000;2026-09-20 13:15:00;3,58;130,05;0,00
Linha Jose Julio;86472000;2026-09-20 13:30:00;3,63;136,95;0,00
Linha Jose Julio;86472000;2026-09-20 13:45:00;3,68;144,00;0,00
Linha Jose Julio;86472000;2026-09-20 14:00:00;3,74;152,68;0,00
Linha Jose Julio;86472000;2026-09-20 14:15:00;3,81;163,08;0,00
Linha Jose Julio;86472000;2026-09-20 14:30:00;3,87;172,24;0,00
Linha Jose Julio;86472000;2026-09-20 14:45:00;3,93;181,62;0,00
Linha Jose Julio;86472000;2026-09-20 15:00:00;3,99;191,22;0,00
Linha Jose Julio;86472000;2026-09-20 15:15:00;4,05;201,04;0,00
Linha Jose Julio;86472000;2026-09-20 15:30:00;4,10;209,39;0,00
Linha Jose Julio;86472000;2026-09-20 15:45:00;4,16;219,62;0,00
Linha Jose Julio;86472000;2026-09-20 16:00:00;4,22;230,05;0,00
Linha Jose Julio;86472000;2026-09-20 16:15:00;4,27;238,92;0,00
Linha Jose Julio;86472000;2026-09-20 16:30:00;4,33;249,75;0,00
Linha Jose Julio;86472000;2026-09-20 16:45:00;4,38;258,94;0,00
Linha Jose Julio;86472000;2026-09-20 17:00:00;4,43;268,27;0,00
Linha Jose Julio;86472000;2026-09-20 17:15:00;4,48;277,76;0,00
Linha Jose Julio;86472000;2026-09-20 17:30:00;4,53;287,39;0,00
Linha Jose Julio;86472000;2026-09-20 17:45:00;4,58;297,16;0,00
Linha Jose Julio;86472000;2026-09-20 18:00:00;4,68;317,15;0,00
Linha Jose Julio;86472000;2026-09-20 18:15:00;4,87;356,72;0,00
Linha Jose Julio;86472000;2026-09-20 18:30:00;5,10;407,36;0,00
Linha Jose Julio;86472000;2026-09-20 18:45:00;5,32;458,59;0,00
Linha Jose Julio;86472000;2026-09-20 19:00:00;5,47;495,06;0,00
Linha Jose Julio;86472000;2026-09-20 19:15:00;5,57;520,06;0,00
Linha Jose Julio;86472000;2026-09-20 19:30:00;5,64;537,88;0,00
Linha Jose Julio;86472000;2026-09-20 19:45:00;5,67;545,60;0,00
Linha Jose Julio;86472000;2026-09-20 20:00:00;5,68;548,19;0,00
Linha Jose Julio;86472000;2026-09-20 20:15:00;5,69;550,78;0,00
Linha Jose Julio;86472000;2026-09-20 20:30:00;5,68;548,19;0,00
Linha Jose Julio;86472000;2026-09-20 20:45:00;5,66;543,02;0,00
Linha Jose Julio;86472000;2026-09-20 21:00:00;5,64;537,88;0,00
Linha Jose Julio;86472000;2026-09-20 21:15:00;5,63;535,32;0,00
Linha Jose Julio;86472000;2026-09-20 21:30:00;5,61;530,21;0,00
Linha Jose Julio;86472000;2026-09-20 21:45:00;5,59;525,12;0,00
